Taxon,Basidiospore,PleurocystidiaPresence,CapSize,BasidiosporeSize,Discoloration,StipeBase,CapSurface,Odor,Caulocystidia,Tree
"nitidiuscula (Britzelm.) Lapl. (nemorosa, subdestricta)",Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
nodulosa Kauffman,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Coniferous
oblectabilis (Britzelm.) Sacc.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",n/a,At stipe center,Coniferous
oblectabilis f. decemgibbosa Kuehner,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Coniferous
obscurobadia (J. Favre) Grund & D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Mixed
ochraceomarginata Kauffman,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Decidious
olida Maire,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,At stipe center,Oak
olpidiocystis G.F. Atk.,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,Only near apex,n/a
olympiana A.H. Sm.,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Fir
pallidicremea Grund & D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Coniferous
pallidipes Ellis & Everh. (auricoma),Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Decidious
pallidobrunnea Kauffman,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,Only near apex,Decidious
paludinella (Peck) Sacc. (trechispora),"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,At stipe center,Decidious
paludosella G.F. Atk.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",n/a,Only near apex,Mixed
parcecoacta Grund & D.E. Stuntz,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Spruce
permucida Grund & D.E. Stuntz,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,At stipe center,Mixed
petiginosa (Fr.) Gillet,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,At stipe center,Decidious
"phaeocomis (Pers.) Kuyper (cincinnata, cincinnatula)",Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Mixed
phaeocomis var. major (S. Petersen) Kuyper (obscura),Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Coniferous
phaeodisca Kuehner (descissa pp),Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Decidious
picrosma D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,At stipe center,Coniferous
praetervisa Quel.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
prominens Kauffman,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Decidious
pusio P. Karst.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Decidious
pyrotricha D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Coniferous
radiata Peck (decipientoides),"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Decidious
rainierensis D.E. Stuntz,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Coniferous
rennyi (Berk. & Broome) Sacc.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Coniferous
retipes G.F. Atk.,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Mixed
"rimosa (Bull.) P. Kumm. (fastigiata, umbrinella, etc.)",Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Decidious
rimosoides Peck,Smooth,No pleurocystidia,Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
rosellicaularis Grund & D.E. Stuntz,Smooth,No pleurocystidia,Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
rubellipes G.F. Atk.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,At stipe center,Mixed
rufidula Kauffman,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
sambucella G.F. Atk.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,Only near apex,Mixed
sambucina (Fr.) Quel.,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Mixed
semifulva Grund & D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
serotina Peck,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Sand
sindonia (Fr.) P. Karst.,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,At stipe center,Mixed
siskiyouensis Kauffman,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,n/a,n/a
sororia Kauffman (rimosa),Smooth,No pleurocystidia,Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
splendens R. Heim,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Definite,At stipe center,Decidious
splendens var. phaeoleuca (Kuehner) Kuyper,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,At stipe center,Mixed
squamosa Bres.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,At stipe center,n/a
squamosodisca Peck,Smooth,No pleurocystidia,Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Pine
stellatospora (Peck) Massee,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Mixed
"stuntzii Grund, in Grund & Stuntz",Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Coniferous
suaveolens D.E. Stuntz,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Definite,At stipe center,Coniferous
subcarpta Kuehner & Boursier,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Pine
subdecurrens Ellis & Everh.,Smooth,No pleurocystidia,Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Decidious
subdestricta Kauffman (nitidiuscula),Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Mixed
subdestricta Kauffman (fuscidula),Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Mixed
subexilis (Peck) Sacc.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,At stipe center,Mixed
subfulva Peck (calospora),"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,n/a
submuricellata G.F. Atk.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Coniferous
submuricellata var. stenospermina Grund & D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Coniferous
subochracea (Peck) Sacc.,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Mixed
subrubescens G.F. Atk.,Smooth,No pleurocystidia,Up to 35 mm,"Large, length over 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Decidious
subtomentosa Peck,Smooth,No pleurocystidia,Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,n/a
tahquamenonensis D.E. Stuntz,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Decidious
tenebrosa Quel. (atripes),Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,At stipe center,Pine
tenerrima G.F. Atk.,Smooth,No pleurocystidia,Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Decidious
tubarioides G.F. Atk.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Wood
umbratica Quel.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,At stipe center,Mixed
umbrina Bres. (assimilata),"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Coniferous
unicolor Peck,Smooth,No pleurocystidia,Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",n/a,Only near apex,n/a
unk 13,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Mixed
vaccina Kuehner,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,At stipe center,Mixed
"variabillima (curvipes) Speg. (decipientoides, lanuginel)","Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Coniferous
ventricosa G.F. Atk.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Mixed
vinosistipitata Grund & D.E. Stuntz,Smooth,No pleurocystidia,Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Decidious
violaceifolia Peck,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Decidious
violaceoalbipes G.F. Atk.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",n/a,Only near apex,Mixed
virgata G.F. Atk.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,n/a,n/a
volvata D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Fir
whitei (Berk. & Broome) Sacc.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
xanthomelas Boursier & Kuehner,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Definite,At stipe center,Hemlock
