Taxon,BasidiosporeType,BasidiosporeShape,BasidiosporeApex,BasidiosporeLength,BasidiosporeWidth,Qvalue,BasidiosporeOrnamentation,BasidiaShape,BasidiaLength,BasidiaWidth,BasidiaSpored,CheilocystidiaPresence,CheilocystidiaShape,CheilocystidiaLength,CheilocystidiaWidth,CheilocystidiaOxalateCrystals,CheilocystidiaWallThickness,CheilocystidiaAmmoniacalTest,ParacystidiaPresence,ParacystidiaShape,ParacystidiaLength,ParacystidiaWidth,PleurocystidiaPresence,PleurocystidiaShape,PleurocystidiaLength,PleurocystidiaWidth,PleurocystidiaOxalateCrystals,PleurocystidiaWallThickness,PleurocystidiaAmmoniacalTest,ApexCaulocystidiaPresence,ApexCaulocystidiaShape,ApexCaulocystidiaLength,ApexCaulocystidiaWidth,ApexCaulocystidiaOxalateCrystals,ApexCaulocystidiaWallThickness,ApexCaulocystidiaAmmoniacalTest,MedianCaulocystidiaPresence,MedianCaulocystidiaShape,MedianCaulocystidiaLength,MedianCaulocystidiaWidth,MedianCaulocystidiaOxalateCrystals,MedianCaulocystidiaWallThickness,MedianCaulocystidiaAmmoniacalTest,Cauloparacystidia,MacroChemical,Habitat,TreesUnder,PileusDiameterX,PileusDiameterY,BaseOfTheStipe,HydrogenPotential,Sosie,Odor,Subgenera,Section,Subsection,DistinctiveFeatures1,ReferencesSources1,DistinctiveFeatures2,ReferencesSources2,DistinctiveFeatures3,ReferencesSources3
monochroa J. Favre,Leiospora,Subamygdaliform,Conical,[9.5-11],[5.5-6.5],[1.7-1.9],Smooth,Claviform,[33-41],[9-12],[4-4],Yes,Cylindrical | Subfusiform | Sublageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Subfusiform | Sublageniform | Metuloid,[61-94],[11-17],Yes,[1.5-2],n/a,Yes,Cylindrical | Subfusiform | Sublageniform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Dryas octopetala | Willow | Pine,[10-24],[10-24],Subequal,n/a,n/a,Acidulous | Spermatic,Inocybe,,,Inocybe monochroa comes very close to I. albovelutipes Stangl but differs in having larger spores and more slender cystidia with a thicker wall. More material is needed for a better evaluation of the relationships between both species.,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 119-120",,,,
"monticola Kropp, Matheny et Nanagyulyan sp. nov.",Leiospora,Amygdaliform,Subconical,[8-10.5],[5-6.5],n/a,Smooth,Claviform,[25-34],[8-11],[4-4],Yes,Fusiform | Ventricose | Metuloid,[48-70],[13-18],Yes,[1-2.5],n/a,n/a,n/a,n/a,n/a,Yes,Fusiform | Ventricose | Metuloid,[53-75],[13-20],Yes,[1-2.5],n/a,Yes,n/a,n/a,n/a,Yes,n/a,n/a,Yes,Irregular,n/a,n/a,Yes,n/a,n/a,n/a,n/a,Soil in montane environments,Trembling aspen,[13-60],[13-60],Not bulbous,n/a,n/a,Spermatic | Raphanoid,,,,"Even though the collections of Inocybe monticola were made in late May or June at the relatively high elevations represented, this is early in the growing season and can be considered vernal. Inocybe monticola thus far has been found only in montane habitats at intermediate elevations in the western United States. How common or widespread this taxon is remains unknown. It has not been seen fruiting again at the type locale in the 10 y since it was first collected there. For the time being we can say only that it occurs in Oregon and Utah and that it does not appear to be part of the mycoflora that is seen annually. I. monticola material originally was identified as I. splendens var splendens sensu Kuyper (1986) who synonymized I. splendens Heim, I. alluvionis Stangl & Veselsky, and I. terrifera Kuehner. Inocybe monticola fits the concept for I. splendens sensu lato reasonably well, but based on our sequence data it differs phylogenetically from European material representing the species. The European material that we used in our phylogenetic work best fits I. splendens sensu Heim (1931) that is characterized by dark pileus colors and a distinct basal bulb on the stipe. Inocybe monticola differs from Heim's concept of I. splendens by lacking a distinct basal bulb on the stipe. Inocybe alluvionis is characterized by a lighter pileus color than I. monticola and by having a submarginate basal bulb on the stipe that is not present on I. monticola. Inocybe terrifera lacks a basal bulb but can be separated from I. monticola by its lighter pileus colors. Inocybe monticola comes closest to I. phaeoleuca Kuehner in having dark pileus colors and lacking a basal bulb. However its DNA sequences differ sharply from that of the European exemplar of I. phaeoleuca Kuehner and its stature is considerably more robust than that of I. phaeoleuca. In addition a velipellis is present on most of the material of I. monticola and this is usually absent from I. phaeoleuca. One rare European species, I. glabrescens Velen, also has some similarity to I. monticola but differs by having a rimose pileus margin and a more slender stipe that discolors yellowish in age. The material on which I. monticola is based does not belong to either I. splendens sensu Heim or I. phaeoleuca sensu Kuehner, and as mentioned above there are morphological reasons to exclude it from both I. alluvionis and I. terrifera.","Kropp, Bradley R.; Matheny, P. Brandon,; Nanagyulyan, Siranush G. Phylogenetic taxonomy of the Inocybe splendens group and evolution of supersection ""Marginatae"", Mycologia, 102(3), 2010, pp. 560-573 ; p.569-570",,,,
mucidiolens (Grund & D.E. Stuntz) Matheny,Leiospora,Elongate | Subreniform,Obtuse,[10-12],[5-6],n/a,Smooth,Claviform,[33-42],[8-10],[4-4],Yes,Claviform | Subcylindric,[33-55],[10-22],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Claviform,[27-50],[10-22],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Moss | Needle,Conifers,[10-40],[10-40],Somewhat bulbous,n/a,n/a,Green-corn,,,,"In its strong green-corn odor var. mucidiolens differs markedly from I. calamistrata var. calamistrata, which always smells like a mixture of fresh raw fish and pine resin. The two taxa are similar in other respects, both showing a certain amount of variability in such features as size, amount of green color in the stipe, and reddening of exposed context.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes II., Mycologia, vol. 62, 1970; p. 929-931","A comparison between the protologues of Agarigus calamistratus Fr.: Fr. and A. hirsutus Lasch: Fr. suggests that both names refer to the same taxon; representative material from various parts of Europe did not give any reason to assume the existence of two different species or infraspecific taxa. Considering the variability in the smell of various collections of I. calamistrata, it seems likely that var. mucidiolens Grund & Stuntz in Mycologia 62 : 929 (1970) is only a minor variant without autonomous status. I did not study the type, however.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.",,Brandon Matheny
multicoronata A.H. Sm.,Goniospora,Globose | Ellipsoidal,Conical,[12-14.5],[10-12],n/a,"3 to 6 prominent nodules, blunt or truncate warts",Claviform,[38-44],[13-17],[4-4],Yes,Subventricose | Ventricose | Metuloid,n/a,n/a,Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Subventricose | Ventricose | Metuloid,[55-100],[13-24],Yes | Sparse | No,[3-4.5],n/a,Yes,Lageniform | Claviform,n/a,n/a,Yes | Sparse | No,n/a,n/a,Yes,Fusiform,n/a,n/a,Yes | Sparse | No,n/a,n/a,n/a,n/a,Moss | Needles,Spruce,[5-20],[5-20],Equal,n/a,n/a,n/a,Clypeus,,,"This Inocybe apparently has not been found outside of Nova Scotia, and has not been reported since it was described in 1939. Its conical scaly pileus, slender, entirely fibrillo-pruinose stipe, and especially the spores with multicoronate warts, make it a very distinctive species. Only two other Inocybes with similar spores have been described, I. lasseri Dennis from Venezuela, and I. petchii Boedijn from Ceylon and Java. These have some features other than the spores in common with I. multicoronata, which thus is the boreal representative of a stirps with world-wide distribution.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes I., Mycologia, vol. 60, 1968; p. 418-420",,,,
muricellata Bres.,Leiospora,Subamygdaliform,Conical,[8-13],[5-7],[1.5-2.1],Smooth,Claviform,[24-32],[8-11],[2-4],Yes,Cylindrical | Fusiform | Sublageniform | Lageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Pyriform | Claviform,n/a,n/a,Yes,Cylindrical | Fusiform | Sublageniform | Lageniform | Metuloid,[54-95],[10-22],Yes,[2-3],n/a,Yes,Cylindrical | Fusiform | Sublageniform | Lageniform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Calcareous soil,Spruce | Pine | Cedar | Beech | Oak | Hazel | Blue-beech | Birch | Alder,[7-38],[7-38],Equal | Claviform | Subbulbous,n/a,n/a,Nihil | Bitter almonds | Subspermatic,Inocybe,,,"1) Inocybe muricellata is a rather variable species both in macroscopical and microscopical respects, and it has seemed possible to subdivide this material into two taxa maintly differing in colour of stipe correlated with some microscopical characters. Collections which show a distinctly purplish red or lilac red apex of stipe generally possess smaller spores and cystidia. However, when more material was studied these microscopical characters were found to show too much overlap to be reliable for a formal subdivision. Specimens with only a faint pinkish or orange tinge at the stipe apex were also encountered, indicating that this character is more gradual too. Both variants do not seem to differ significantly in their ecology, although the variant with the reddish stipe seems to prefer somewhat more natural vegetation, but this character also proved insufficient for a formal subdivision. The macroscopical structure of the pileipellis is dependent on the age of the specimens and the development of the velipellis. These phenotypical differences between strongly squarrose specimens and tomentose specimens are devoid of taxonomical importance. 2) In the collection that I made myself I never noted a smell of bitter almonds. It might therefore be possible that the mention of this smell in several collections is based on biased observations. This might be true for instance in the description by J. Lange (Fl. agar. dan. 3: 78. 1938) where a faint smell of bitter almonds is noted, although the description definitely refers to I. muricellata. 3) Inocybe hirtella Bres. differs in having a conspicuous smell of bitter almonds, being somewhat brighter yellow, and possessing smaller, slenderly clavate cystidia with less bright yellow walls. It never shows such conspicuous reddish tinges at the stipe apex.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 199-201",,,,
mycenoides Kuyper,Leiospora,Subamygdaliform,Subconical,[8-11],[5.5-6.5],[1.5-1.8],Smooth,Claviform,[23-29],[7-9],[4-4],Yes,Cylindrical | Claviform | Subfusiform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Claviform | Subfusiform | Metuloid,[31-50],[10-16],Yes,[1.5-2.5],n/a,Yes,Cylindrical | Claviform | Subfusiform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Soil,Beech | Basswood | Larch,[6-30],[6-30],Equal,n/a,n/a,Subspermatic,Inocybe,,,"Recognisable because of its mycenoid habit, completely pruinose stipe and short, cylindrical to subfusiform cystidia. The collection from the Netherlands consisted unfortunately of one specimen only of which the lamellae were less yellow than Metrod described for his I. citrinofolia.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 210-212",,,,
napipes J.E. Lange,Goniospora,Irregularly | Polyhedral,Conical,[6.5-9],[5.5-6.5],n/a,6 to 10 prominent nodules,Claviform | Subventricose,[22-27.5],[6.5-9],[4-4],Yes,Ventricose,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[38-55],[13-19],Yes | Sparse | No,[1-1.6],n/a,Yes,Ventricose,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Hemlock | Among ferns,[10-25],[10-25],Napiform bulbous,n/a,n/a,Rancid,Clypeus,,,"The presence in North America of Inocybe napipes has been indicated by J. Lange (Lange, J. 1938. Flora Agaricina Damica. Vol. III. Recato A/S Copenhagen, 96 p.; p. 85) and by Brown et al. (Brown, J. K., Malone, M. H., Stuntz, D. E., and Tyler, V. E. Jr., 1962. Paper chromatographic determination of muscarine in Inocybe species. J. Pharm. Sci. 51 : 853-856; p. 854), but there does not seem to be any further account of North American collections. The species was reported from France by Kuehner and Boursier (Kuehner, R. and Boursier, J. 1932. Notes sur le genre Inocybe. Bull. Soc. Mycol. France 48 : 118-161; p. 127). Their description gives a better idea of macroscopic features than is afforded by our single small collection, but it is interesting to note how closely the microscopical features of their specimens correspond to those of the Nova Scotian ones.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes II., Mycologia, vol. 62, 1970; p. 932-934",,,,
nemorosa (R. Heim) Grund & D.E. Stuntz,Leiospora,Inequilaterally | Amygdaliform,Subconical,[8-12],[5.5-6.5],n/a,Smooth,Claviform,[27-30],[9-12],[4-4],Yes,Claviform | Ovoid | Metuloid,[24-33],[11-20],Yes | No,[2.5-3.5],n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Fusoid | Metuloid,[55-80],[13-25],Yes,[2.5-4.5],n/a,Yes,Claviform,[35-45],[18-20],Yes | Sparse | No,[2.5-3.5],n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Conifers | Mixed,[10-35],[10-35],Subbulbous,n/a,n/a,Spermatic,,,,"Those of the above collections in which the pileal surface has not been too much craked by dry weather look very much like Heim's illustration of Inocybe friesii forma nemorosa (Heim, R. 1931. Le genre Inocybe. Encyclopedie Mycologique I. P. Lechevalier & Fils, Paris. 429 p.; pl. III, fig. 6). This form is, as Heim suggest (Heim, R. 1931. Le genre Inocybe. Encyclopedie Mycologique I. P. Lechevalier & Fils, Paris. 429 p.; 133 p.), not without resemblance to I. umbrina Bres., and by its uniformly umbrinous pileus and stipe, differs rather sharply from either I. friesii forma laricina Heim or I. friesii sensu Kuehner (Kuehner, R. 1955. Complements a la Flore Analytique V. Inocybe leispores cystidies. Bull. Soc. Nat. D'Oyonnax, Mem. Hors ser. 1. Imprimerie Berthod, Bourg. 95 p.). We think, therefore, that it should not be joined as a variety ti I. friesii, however that species is interpreted. In the 8 collections of I. nemorosa cited, the size of spores varies somewhat from one collection to another. Thus spores of DG 1844 measure 8-10 x 5.5-6 micron and are mostly 9 x 6 micron, while those of DG 1851 are 9-12 x 5-6 micron, mostly 10-11 x 5.5 micron. Since the ranges in size overlap completely, we have thought best to give a composite size range for all 8 collections.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes I., Mycologia, vol. 60, 1968; p. 420-421",,,,
neobrunnescens Grund & D.E. Stuntz,Leiospora,Subreniform,Obtuse,[8-11],[4.5-5.5],n/a,Smooth,Claviform,[22-30],[6.5-9],[2-4],Yes,Claviform | Claviform,[33-75],[10-24],No,[1-1.5],n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindric | Subclaviform,[30-55],[15-20],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Moss,Spruce | Fir,[15-30],[15-30],Small bulbous,n/a,neobrunnescens,Spermatic,,,,"This Inocybe belongs to a group of species related to I. umbrinella Bres., and are characterized by their umber, rimose pilei, brunnescent stipes, and spores ranging 8-13 micron long. Inocybe umbrinella resembles I. neobrunnescens in appearance, but has larger spores. Kauffman (Kauffman, C. H. 1924. Inocybe. N. Amer. Fl. 10(4) : 227-276; p. 259) gives Inocybe brunnescens Atk., as a synonym of I. fastigiella Atk., but having studied the types of both species, we do not agree. The spores of the type of I. brunnescens measue 8-9.5 (-10) x 4-5 (-5.5) micron, mostly 9 x 4.5 micron, and are definitely subreniform : those of the type of I. fastigiella measure 7.5-9.5 x 5-5.5 micron, mostly 8-9 x 5-5.5 micron, and are definitely not subreniform. While there is little difference in size, the difference in shape is evident, as shown in Figs. 6A and 6B. Furthermore, the carpophores of I. fastigiella are smaller than those of I. brunnescens, and with more slender stipes. The diffrence in size of carpophores is in itself of minor significance, but we believe that the two species can be separated by their differently shaped spores.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes II., Mycologia, vol. 62, 1970; p. 934-935",,,,
neobrunnescens var. leucothelota Grund & D.E. Stuntz,Leiospora,Subreniform,Obtuse | Subconical,[8-10],[4.5-5.5],n/a,Smooth,Claviform,[27-31],[8-10],[2-4],Yes,Claviform,[33-80],[11-24],No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Claviform,[30-55],[10-20],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Gravel | Soil,Hemlock | Maple,[15-50],[15-50],Not bulbous,n/a,maculata,Spermatic,,,,"The white superficial layer, conspicuous and persistent on the pileal disk, distinguishes var, leucothelota from var. neobrunnescens. When more collections of both varieties are available, it may develop that the presence or absence of such a layer does not have the significance accorded it here, as, for instance, seems to be the case with Inocybe lanatodisca Kauffm. (Grund, L. W., and Stuntz, D. E. 1968. Nova Scotian Inocybes I., Mycologia 60 : 406-425; p. 413). In the meantime, regognition of var. leucothelota is a convenient way of indicating that a situation similar to that in I. lanatodisca may be found in I. neobrunnescens. In the general appearance of the carpophore, as well as in microscopical features, var. leucothelota closely resembles I. maculata Boud., but has an entirely different odor.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes IV., Mycologia, vol. 69, 1977; p. 395, 397",,,,
nespiakii Bon,Leiospora,Cylindrical |Ellipsoidal | Subphaseoliform | Laceroid,Subconical | Conical,[9-16],[4.5-7.5],n/a,Smooth,n/a,n/a,n/a,n/a,Yes,Claviform | Subpyriform,[15-25],[8-15],n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Alpine meadow | Calcereous | Subalpine,Willow | Conifers,[10-40],[10-40],n/a,n/a,n/a,n/a,Inosperma,Depauperatae,Terrigenae,"Nespiak, avec raison, a eleve ce taxon au rang d'espece, a cause des spores allongees non conformes a la stirpe Dulcamara ; elle se separe d'I. malenconii par son habitat et son revetement du stipe ; p. 16","Bon, Marcel. Cle monographique du genre Inocybe (Fr.) Fr., Documents Mycologiques, Tome XXVII, Fascicule no 105, avril 1997, 1re partie; p. 12",,,,
nitidiuscula (Britzelm.) Lapl.,Leiospora,Subamygdaliform,Conical,[8.5-13],[5-7],[1.5-2],Smooth,Claviform,[25-38],[9-12],[4-4],Yes,Fusiform | Cylindrical | Sublageniform | Lageniform | Subutriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform | Pyriform,n/a,n/a,Yes,Fusiform | Cylindrical | Sublageniform | Lageniform | Subutriform | Metuloid,[50-90],[11-22],Yes,[1.5-2.5],n/a,Yes,Fusiform | Cylindrical | Sublageniform | Lageniform | Subutriform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Calcareous soil,Spruce | Pine | Oak | Larch | Hazel | Blue-beech,[11-47],[11-47],Not bulbous,n/a,leiocephala,Spermatic | Subspermatic,Inocybe,,,"1) Inocybe nitiduscula has been neotypified by Stangl (in Int. J. Mycol. Lichenol. 1: 164. 1983), who was also the first to synonymise I. friesii with I. nitidiuscula. His conclusion is accepted here. 2) The difference between the yellow-brown variant formely recognised as f. epixantha and the chestnut-brown typical variant is too small and shows too much intergradation to warrant a formal recognition of the former variant as autonomous form. 3) The synonymy of I. tarda with I. nitidiuscula may seem somewhat more surprising. However, a careful comparison between the protologues of both species described by Kuehner (in Bull. Soc. Nat. Oyonnax 9 (Suppl.): 63-68. 1955) makes clear that both taxa are extremely similar in both macroscopical and microscopical respects. Inocybe tarda mainly differs in being somewhat more robust and showing somewhat less pronounced reddish tinges at the apex of the stipe. The material studied by me did not allow for an unambiguous separation of both taxa, as several intermediates were encountered. For that reason these species are considered identical. 4) Inocybe nitidiuscula resembles I. leiocephala Stuntz rather much and can esily be confused with that species, especially when there are scattered somewhat differentiated caulocystidioid hairs in the lower part of the stipe. Inocybe nitidiuscula differs, however, in being somewhat more slender, not possessing a distinctly bulbous stipe, having a cortina in young stages, and having spores with a subconical apex (almost obtuse in I. leiocephala). 5) Inocybe nitidiuscula can also be confused with I. fuscidula Velen., but differs in having a stipe with distinct reddish tinges, larger spores, and pleurocystidia with a somewhat thicker wall. Single specimens, especially in older stages, might not always be separable from I. fuscidula, however.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 150-152",,,,
nodulosa Kauffman,Goniospora,Roughly trapezoidal,Conical | Subconical,[7-10],[5.5-7],n/a,"6 to 8 very coarse, prominent nodules",Claviform,[23-27.5],[8-9],[4-4],Yes,Ventricose | Subcylindric,n/a,n/a,Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Subcylindric,[52-66],[12-16.5],Yes | No,[1-1.2],n/a,Yes,Ventricose | Subcylindric | Metuloid,[50-102],[5.5-8],Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Conifers,[20-130],[20-130],Napiform bulbous,n/a,umbrina,n/a,Clypeus,,,"This Inocybe was reported from Nova Scotian by Smith and Wehmeyer in 1937 (). Our specimens correspond perfectly to the type (NY, holotype, MICH, isototype). As small uniformly dark brown inocybes with smooth pilei and conspicuously bulbous stipes, they resemble I. umbrina Bresad. Rather closely, but are readily distinguished from that species by their very coarsely nodulose spores.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes IV., Mycologia, vol. 69, 1977; p. 400-401",,,,
oblectabilis complex (cKc0576),Goniospora,Subquadrangular | Tuberculate,Conical | Subconical,[9.1-11.1],[5.6-8],[1.2-1.8],"6 to 10 coarse, prominent nodules",Claviform | Cylindrical | Pyriform,[29-33],[10-11.5],[2-4],Yes,Fusiform | Lageniform | Metuloid,[40.2-66.5],[16.5-36],Yes,[1.5-4.2],Ammonioca -,Yes,Pyriform | Cylindrical | Napiform,[14-31],[6-12],Yes,Fusiform | Lageniform | Metuloid,[47-60],[16.5-24.5],Yes,[2-3.5],Ammonioca -,Yes,Fusiform | Lageniform | Metuloid,[41-62],[17-26],Yes,[1.3-4],n/a,Yes,Fusiform | Lageniform | Metuloid,[40-66],[16.5-24],Yes,[1.7-4.3],n/a,Yes,n/a,Humus | Lawn,Spruce,[38-56],[38-56],Bulbous,n/a,amblyspora,Spermatic,Clypeus,,,n/a,"Kaufholtz-Couture, C. Taxonomy, macromorphological and microscopic descriptions, coll. cKc0576, Fungiquebec, 2018",,,,
oblectabilis f. decemgibbosa (Kuehner),Goniospora,Tuberculate,Conical | Subconical,[9-11],[5.5-9],n/a,"8 to 10 coarse, prominent nodules",Claviform,[24-31],[9-11],[4-4],Yes,Ventricose | Subellipsoidal | Metuloid,[45-66],[21-33],Yes,[3-3.5],n/a,Yes,Claviform,[22-33],[9-13],Yes,Ventricose | Subellipsoidal | Metuloid,[50-71],[20-36],Yes,n/a,n/a,Yes,Claviform | Metuloid,[55-88],[13-33],Yes,[2.5-3],n/a,Yes,Claviform | Metuloid,[55-88],[14-28],Yes,n/a,n/a,n/a,n/a,Ground,Hardwoods,[15-50],[15-50],Marginate bulbous,n/a,amblyspora,n/a,Clypeus,,,n/a,"Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes V., Mycologia, vol. 72, 1980; p. 681",,,,
obscurobadia Grund & D.E. Stuntz,Leiospora,Inequilaterally | Amygdaliform,Obtuse | Conical,[7-9.5],[4.5-5.5],n/a,Smooth,Claviform,[27.5-31],[8-9],[4-4],Yes,Subcylindrical | Ventricose | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,n/a,n/a,n/a,Yes,Subcylindrical | Ventricose | Metuloid,[45-66],[10-15],Yes | No,[0.5-1.5],n/a,Yes,Subcylindrical | Ventricose | Metuloid,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Mixed | Hardwoods | Conifers,[10-18],[10-18],Bulbous,n/a,griseovelata,Not distinctive,Inocybe,,,"Except for being umbonate, the specimen of ACAD 10529 corresponds closely to Favre's description of his variety of I. furfurea Kuehn. (Favre, J. 1955. Les champignons superieures de la zone alpine du Parc National suisse. Ergebn Wiss. Untersuch. Schweiz. National parkes 5(33) : 1-212; p. 91). We believe, however, that obscurobadia should be given the status of an autonomous species, since Kuehner described I. furfurea as having the stipe ""enrierement poudre"" (Kuehner, R. 1955. Complements a la ""Flore Analytique"" V. Inocybes leispores cystidies. Suppl. Bull. Soc. Nat. d'Oyonnax 9 : 1-95; p. 15), and in the present infrageneric taxonomy of Inocybe, the location of dermatocaulocystidia is accorded considerable importance. We report this species for the first time from the maritime provinces of Canada.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes IV., Mycologia, vol. 69, 1977; p. 407-408","1) This species has in Europe for a long time been known under the misapplied name I. leptocystis. Horak & Stangl (in Sydowia 33 : 145. ('1980') 1981) asserted that they were unable to find a name for this misapplied species and for that reason described it as new under the name I. tenuicystidiata. However, they overloked the fact that Favre (in Ergebn. wiss. Unters. schweiz. NatParks, N.F. 5 : 91. 1955) had already described that taxon which was subsequently elevated to specific rank by Grund & Stuntz (in Mycologia 69 : 407. 1977). Unfortunately, both American authors misapplied the name I. obscurobadia. 2) Inocybe leptocystis var. ambigua J. Favre in Ergebn. wiss. Unters. schweiz. NatParks, N.F. 5 : 201 (1955) was said to be only a minor variant of I. obscurobadia. Favre's icon (I.c., pl. 6, f. 1) looks macroscopically strikingly different, however, and the synonymy has in my opinion not yet unambiguously been demonstrated, despite identical microscopical characters.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 112-114",,
ochroalba Bruyl.,Leiospora,Subamygdaliform,Subconical | Conical,[7.5-10.5],[4.5-6],[1.4-1.9],Smooth,Claviform,[26-37],[7-10],[4-4],Yes,Claviform | Subfusiform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Pyriform | Claviform,n/a,n/a,Yes,Claviform | Subfusiform | Metuloid,[37-67],[13-26],Yes,[2-2.5],n/a,Yes,Claviform | Subfusiform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,Claviform | Subfusiform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Calcareous soil,Oak | Beech | Alder | Spruce | Pine,[8-40],[8-40],Equal | Subbulbous,n/a,n/a,Spermatic,Inocybe,,,"1) Inocybe ochroalba is very variable in its macroscopical habit due to the development of the velipellis. Specimens with a squamulose-subquarrose pileus and a distinct umbo look strikingly different from specimens with a sericeous-smooth pileus without umbo, but both variants are very similar in microscopical characters. This character difference is at least partly phenotypically determined, as both variants are occasionally met in groups that seem to originate from one mycelium. For that reason these variants are not accorded any formal infraspecific status. 2) Inocybe langei R. Heim differs from I. ochroalba in possessing smaller spores with a more obtuse apex and more greyish lamellae. Inocybe pelargonium Kuehner has a different smell, more slenderly fusiform cystidia and a stipe that often has a (sub)marginate bulb.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 206-209",,,,
